Household City,Household County,Household FIPS,Household ST,Household Zip,Agency Name,Agency Address,Agency City,Agency County,Agency ST,Agency Zip
,iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Bloomington,McLean,17113.0,IL,61704,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,ford,17053.0,IL,60957,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
St. Anne,KANKAKEE,17091.0,IL,60964,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Thawville,Iroquois,17075.0,IL,60968,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Thawville,Iroquois,17075.0,IL,60968,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Thawville,Iroquois,17075.0,IL,60968,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Thawville,Iroquois,17075.0,IL,60968,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
,douglas,17041.0,IL,61953,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,douglas,17041.0,IL,61953,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,PIATT,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Piatt,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Piatt,17147.0,IL,61813,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,douglas,17041.0,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Lexington,McLean,17113.0,IL,61753,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Lexington,McLean,17113.0,IL,61753,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Lexington,McLean,17113.0,IL,61753,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Lexington,McLean,17113.0,IL,61753,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Lexington,McLean,17113.0,IL,61753,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
,Douglas,,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,,IL,61956,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Cerro Gordo,Piatt,17147.0,IL,61818,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Normal,McLean,17113.0,IL,61761,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Normal,McLean,17113.0,IL,61761,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Normal,McLean,17113.0,IL,61761,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Normal,McLean,17113.0,IL,61761,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Milford,Iroquois,17075.0,IL,60953,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
Washburn,Woodford,17203.0,IL,61570,Open Arms Food Pantry,1200 W Mt Vernon St ,Metamora,WOODFORD,IL,61548
Washburn,Woodford,17203.0,IL,61570,Open Arms Food Pantry,1200 W Mt Vernon St ,Metamora,WOODFORD,IL,61548
Bloomington,McLean,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,McLean,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,McLean,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,McLean,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
